,OrganoidName,OrganoidDescription,PrepID,Type,OriginalName,d2
0,O,HumanOrganoids,1,Intact,O1,0.03650141813046669
1,O,HumanOrganoids,2,Intact,O2,0.03686357940112913
2,O,HumanOrganoids,3,Intact,O3,0.04191068421407121
3,MO,MouseOrganoids,1,Intact,MO1,0.04518724622428584
4,MO,MouseOrganoids,2,Intact,MO2,0.06381187738517513
5,MO,MouseOrganoids,3,Intact,MO3,0.08008734714814632
6,MO,MouseOrganoids,4,Intact,MO4,0.02962116012674942
7,MO,MouseOrganoids,5,Intact,MO5,0.11351426745944011
8,MO,MouseOrganoids,6,Intact,MO6,0.07076837155032156
9,MO,MouseOrganoids,7,Intact,MO7,0.028734148764151805
10,M,AcuteMouseSlices,2,Intact,M2,0.0386820547328194
11,M,AcuteMouseSlices,3,Intact,M3,0.06112961905589813
12,M,AcuteMouseSlices,4,Intact,M4,0.020012810009964698
13,M,AcuteMouseSlices,5,Intact,M5,0.02305526388956239
14,Pr,2DPrimarycultures,1,Intact,Pr1,0.07574616209749223
15,Pr,2DPrimarycultures,2,Intact,Pr2,0.04503356314273111
16,Pr,2DPrimarycultures,3,Intact,Pr3,0.06731113104657661
17,Pr,2DPrimarycultures,4,Intact,Pr4,0.09461896850759133
18,Pr,2DPrimarycultures,6,Intact,Pr6,0.03451743844392975
19,Pr,2DPrimarycultures,7,Intact,Pr7,0.05647845272521488
20,Pr,2DPrimarycultures,8,Intact,Pr8,0.06276278157305298
21,O,HumanOrganoids,1,Control,O1_rand,0.24742903331269514
22,O,HumanOrganoids,2,Control,O2_rand,0.19749423519337533
23,O,HumanOrganoids,3,Control,O3_rand,0.21884896036518833
24,O,HumanOrganoids,4,Control,O4_rand,0.24306319574792412
25,O,HumanOrganoids,7,Control,O7_rand,0.2232253386681613
26,MO,MouseOrganoids,1,Control,MO1_rand,0.2452770641785517
27,MO,MouseOrganoids,2,Control,MO2_rand,0.22015760291268754
28,MO,MouseOrganoids,3,Control,MO3_rand,0.22218517154870926
29,MO,MouseOrganoids,4,Control,MO4_rand,0.2268366813263918
30,MO,MouseOrganoids,5,Control,MO5_rand,0.21338708123623998
31,MO,MouseOrganoids,6,Control,MO6_rand,0.22548886673711702
32,MO,MouseOrganoids,7,Control,MO7_rand,0.22421214158092073
33,MO,MouseOrganoids,8,Control,MO8_rand,0.22585193386459357
34,MO,MouseOrganoids,9,Control,MO9_rand,0.2334503976396032
35,M,AcuteMouseSlices,1,Control,M1_rand,0.22767878421049137
36,M,AcuteMouseSlices,3,Control,M3_rand,0.24879156059720878
37,M,AcuteMouseSlices,4,Control,M4_rand,0.23362808656627349
38,M,AcuteMouseSlices,5,Control,M5_rand,0.21181440649455957
39,Pr,2DPrimarycultures,1,Control,Pr1_rand,0.22366216155526342
40,Pr,2DPrimarycultures,2,Control,Pr2_rand,0.22416742140375065
41,Pr,2DPrimarycultures,3,Control,Pr3_rand,0.2062921516333108
42,Pr,2DPrimarycultures,4,Control,Pr4_rand,0.24465590805630724
43,Pr,2DPrimarycultures,6,Control,Pr6_rand,0.21160679896296875
44,Pr,2DPrimarycultures,7,Control,Pr7_rand,0.21911171554813638
45,Pr,2DPrimarycultures,8,Control,Pr8_rand,0.23142651321652827
